mean: -588377.049 std: (+/-711136.674) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -600986.607 std: (+/-736337.599) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -586496.628 std: (+/-695293.815) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -642065.988 std: (+/-741265.882) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -625996.995 std: (+/-749022.880) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -600607.402 std: (+/-642091.464) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -622071.480 std: (+/-747754.123) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -582435.333 std: (+/-682504.252) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -583912.431 std: (+/-713252.265) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -593774.878 std: (+/-770287.764) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -480623.586 std: (+/-654790.435) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -472558.114 std: (+/-602186.446) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -496953.872 std: (+/-643943.802) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -487051.000 std: (+/-647791.255) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -491614.079 std: (+/-604477.301) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -489633.971 std: (+/-639404.794) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -479093.063 std: (+/-589769.213) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -484373.183 std: (+/-655334.364) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -454098.638 std: (+/-592375.491) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -517298.069 std: (+/-719088.381) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -473988.777 std: (+/-742671.551) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -481172.086 std: (+/-758993.172) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -490130.814 std: (+/-746936.733) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -492287.592 std: (+/-723467.778) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -485443.735 std: (+/-723397.757) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -494383.939 std: (+/-703146.990) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -512480.740 std: (+/-761056.216) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -491496.187 std: (+/-771075.250) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -492613.009 std: (+/-713232.390) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -514150.422 std: (+/-794595.735) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -498688.047 std: (+/-608780.494) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -509090.846 std: (+/-633681.083) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -476423.558 std: (+/-497522.173) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -505549.069 std: (+/-649654.339) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -512385.855 std: (+/-684031.953) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -538454.338 std: (+/-718990.758) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -486171.135 std: (+/-541333.954) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -482199.557 std: (+/-558711.654) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -498320.969 std: (+/-565561.479) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -477986.280 std: (+/-563724.327) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -506680.459 std: (+/-664014.485) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -527450.763 std: (+/-715424.659) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -508454.102 std: (+/-645428.232) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -541153.756 std: (+/-744486.576) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -503540.747 std: (+/-644978.760) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -520677.702 std: (+/-691207.387) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -509819.869 std: (+/-661455.362) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -527325.219 std: (+/-720688.317) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -490633.333 std: (+/-587787.512) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -516536.995 std: (+/-624796.027) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -505256.513 std: (+/-715173.745) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -509090.279 std: (+/-676315.308) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -469783.170 std: (+/-561365.594) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -488063.043 std: (+/-617382.846) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -465740.065 std: (+/-560534.848) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -482210.619 std: (+/-586382.528) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -489298.868 std: (+/-618811.059) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -510192.655 std: (+/-679671.177) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -493153.565 std: (+/-661975.057) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -482347.310 std: (+/-656703.519) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 2}
mean: -353247.549 std: (+/-333167.151) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -361353.838 std: (+/-358227.199) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -360682.009 std: (+/-374370.735) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -366970.240 std: (+/-364597.508) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -363657.675 std: (+/-406486.235) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -351571.996 std: (+/-338279.716) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -374706.632 std: (+/-408310.472) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -393830.938 std: (+/-423038.610) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -361901.586 std: (+/-327029.577) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -348084.026 std: (+/-342258.114) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -359654.703 std: (+/-379544.790) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -366262.192 std: (+/-355276.039) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -371877.911 std: (+/-375469.717) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -380589.026 std: (+/-388968.817) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -372399.829 std: (+/-364103.665) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -362805.734 std: (+/-385886.590) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -377890.829 std: (+/-410093.906) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -349611.438 std: (+/-327773.426) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -370164.983 std: (+/-385396.612) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -362243.485 std: (+/-359741.151) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -369469.207 std: (+/-481255.388) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -370842.207 std: (+/-472125.526) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -343029.736 std: (+/-403837.448) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -368355.233 std: (+/-454766.630) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -357877.662 std: (+/-431403.185) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -361985.286 std: (+/-450864.064) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -371210.393 std: (+/-461987.957) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -362632.852 std: (+/-451185.830) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -361035.990 std: (+/-456280.511) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -382149.941 std: (+/-483141.501) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 4}
mean: -444549.991 std: (+/-694160.686) for {'max_features': 'sqrt', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -485796.963 std: (+/-836289.820) for {'max_features': 'sqrt', 'n_estimators': 400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -459319.751 std: (+/-587739.098) for {'max_features': 'sqrt', 'n_estimators': 600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -434160.828 std: (+/-782627.273) for {'max_features': 'sqrt', 'n_estimators': 800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -467250.958 std: (+/-699047.716) for {'max_features': 'sqrt', 'n_estimators': 1000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -473054.345 std: (+/-731105.411) for {'max_features': 'sqrt', 'n_estimators': 1200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -532477.401 std: (+/-806517.137) for {'max_features': 'sqrt', 'n_estimators': 1400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
