mean: -10623037500.001 std: (+/-16295562142.712) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10244560104.685 std: (+/-15239388803.818) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -11145695300.607 std: (+/-18577185755.454) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -9894237575.713 std: (+/-17529746666.795) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10142867060.963 std: (+/-15109683467.298) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -12520751700.303 std: (+/-16200339076.035) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10797515721.324 std: (+/-16069451176.339) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10418170776.420 std: (+/-15282889673.749) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -11232000533.781 std: (+/-17856819955.756) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10530026655.245 std: (+/-15605569884.726) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10352860645.564 std: (+/-18959338938.385) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10677955071.965 std: (+/-19308728172.461) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -11190413913.224 std: (+/-19179663952.240) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10598203930.007 std: (+/-19268646528.738) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10734877300.843 std: (+/-18914928881.504) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10123567333.402 std: (+/-18882106485.807) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -11137763072.917 std: (+/-19132367124.046) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10593478678.053 std: (+/-19284815789.694) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10946211966.875 std: (+/-19299085475.259) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10825020823.624 std: (+/-19265585265.929) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10762099806.311 std: (+/-22876765841.139) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -10645997074.230 std: (+/-22467063498.211) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
