mean: -320779073.095 std: (+/-439945301.588) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -350802106.994 std: (+/-413698476.759) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -334181375.464 std: (+/-425625950.353) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -323302445.147 std: (+/-446323672.257) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -347906952.272 std: (+/-426426581.993) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -328704886.254 std: (+/-425299944.139) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -324430283.487 std: (+/-476502536.511) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -314961361.473 std: (+/-446055586.183) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -317525842.580 std: (+/-425789497.516) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -343918057.185 std: (+/-415904915.106) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 2, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -325585914.510 std: (+/-468729263.619) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -340111985.520 std: (+/-477007098.227) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -349690871.605 std: (+/-459547765.781) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -331036137.317 std: (+/-475674903.680) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -318381277.356 std: (+/-481967242.243) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -331838098.982 std: (+/-480634240.101) for {'max_features': 'auto', 'n_estimators': 1200, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -332679233.861 std: (+/-464048649.120) for {'max_features': 'auto', 'n_estimators': 1400, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -327647120.798 std: (+/-490470351.160) for {'max_features': 'auto', 'n_estimators': 1600, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -324318676.979 std: (+/-511224152.349) for {'max_features': 'auto', 'n_estimators': 1800, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -324523403.614 std: (+/-503044722.965) for {'max_features': 'auto', 'n_estimators': 2000, 'min_samples_split': 5, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -314677186.505 std: (+/-420481729.754) for {'max_features': 'auto', 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -315711658.312 std: (+/-414613656.909) for {'max_features': 'auto', 'n_estimators': 400, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -301095495.515 std: (+/-445644917.705) for {'max_features': 'auto', 'n_estimators': 600, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -308291646.290 std: (+/-425473431.584) for {'max_features': 'auto', 'n_estimators': 800, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
mean: -311764636.600 std: (+/-426212685.200) for {'max_features': 'auto', 'n_estimators': 1000, 'min_samples_split': 10, 'max_depth': 10, 'min_samples_leaf': 1}
